"Year","CA_Bottom-Trawl","OR_Bottom-Trawl","WA_Bottom-Trawl","CA_Midwater-Trawl","OR_Midwater-Trawl","WA_Midwater-Trawl","CA_Net","WA_Net","CA_Hook-and-Line","OR_Hook-and-Line","WA_Hook-and-Line"
1994,557.9,2600.7,644.1,210,1564.4,387.5,58.4,0,71.7,9.6,0.4
1995,1361.1,2386.7,339,292.7,1283.4,700.7,57.6,0,19,7.2,0.1
1996,1056.8,2292.1,237.9,238.8,998.2,609.4,16.1,0,21.6,11,0.1
1997,1032.5,2502.8,241.7,253.6,1453.1,735.8,16.4,0,22.4,15.6,0
1998,686.2,1641.1,188.4,81.6,493.4,307.8,48.7,0,62.4,24.1,0
1999,485,945,182.7,100.1,1634.2,315.9,10,0,29,14.7,0.1
2000,34.2,19.6,2.9,680.8,2604.8,379.4,6.8,0,11.9,2.5,0
2001,9.3,28.8,1,310.3,1092.4,287.1,7,0,6.4,0.7,0
2002,8.7,6,2.4,40,151.7,59.8,0,0,0.4,0.1,0
2003,3.1,0.3,0.2,0.4,0,9.3,0.4,0,0.3,0.6,0
2004,5.9,2.4,0.1,7.5,0,21.3,0,0,0.2,0.1,0
2005,2.7,0.2,0.2,5.2,0,27.6,0.1,0,0.4,0.8,0.1
2006,3.8,2,0.3,3.6,0,9.3,0,0,0.8,0,0
2007,2.7,1.8,0.3,1,0,0.5,2.9,0,1.6,0.3,0
2008,0.2,1.7,0.2,29.2,0,12.9,0,0,1.2,0,0
2009,1.9,2.1,0.2,2.3,0,34.1,0.2,0,0.4,0,0
2010,1.2,2.9,0.7,9,0,45.7,0,0,0,0.1,0
2011,1.1,10,7.2,0,12.4,31.5,0,0,0,0,0
2012,2.3,27,12,0,5.9,41.5,0,0,0.2,0.1,0
2013,4.8,44,2.4,0,204.5,36.6,0,0,0.9,0.1,0
2014,2.7,46.1,22.5,0,259.7,46.9,0,0,1.7,0.1,0
2015,1.8,10.4,0,0,386.7,92.5,0,0,1.6,0.4,0
2016,0.4,8.4,0.8,0,574.5,13.5,0,0,0.7,0,0
2017,1,34.3,0.6,51.9,4770.3,29.9,0,0,2.3,0.3,0.1
2018,21.4,14.5,0.1,215.9,7605.9,1552.4,0,0,1.5,0,0
2019,10.3,17.6,0,142.6,6752.5,1262.8,0,0,2.1,0,0
2020,8.7,64.9,0,84.8,5834.1,1613.3,0,0,2.3,0.2,0.3
2021,20.1,83.4,0.2,169.3,8395.5,1576.5,0,0,4.2,0,0.4
2022,60,66.8,0,499.1,8794.5,1546.2,0,0,8.4,0,0.3
2023,35.5,46.8,0,493.4,8108.4,1626.3,0,0,6.1,1,0
2024,16,11.6,0,0,7449.8,1711,0,0,11.9,0.9,0.1
