Year,BottomTrawl_CA,BottomTrawl_OR,BottomTrawl_WA,MidwaterTrawl_CA,MidwaterTrawl_OR,MidwaterTrawl_WA,Net_CA,Net_WA,Hook_and_line_CA,Hook_and_line_OR,Hook_and_line_WA
1994,557.9,2600.7,644.1,210,1564.4,387.5,58.4,0,71.7,9.6,0.4
1995,1361.1,2386.7,339,292.7,1283.4,700.7,57.6,0,19,7.2,0.1
1996,1056.8,2292.1,237.9,238.8,998.2,609.4,16.1,0,21.6,11,0.1
1997,1032.5,2502.8,241.7,253.6,1453.1,735.8,16.4,0,22.4,15.6,0
1998,686.2,1641.1,188.4,81.6,493.4,307.8,48.7,0,62.4,24.1,0
1999,485,945,182.7,100.1,1634.2,315.9,10,0,29,14.7,0.1
2000,34.2,19.6,2.9,680.8,2604.8,379.4,6.8,0,11.9,2.5,0
2001,9.3,28.8,1,310.3,1092.4,287.1,7,0,6.4,0.7,0
2002,8.7,6,2.4,40,151.7,59.8,0,0,0.4,0.1,0
2003,3.1,0.3,0.2,0.4,0,9.3,0.4,0,0.3,0.6,0
2004,5.9,2.4,0.1,7.5,0,21.3,0,0,0.2,0.1,0
2005,2.76,0.19,0.24,0,0,27.59,0,0,0.43,0.76,0.07
2005,2.7,0.2,0.2,5.2,0,27.6,0.1,0,0.4,0.8,0.1
2006,3.79,2.02,0.26,0,0,9.28,0,0,0.84,0.02,0.02
2007,2.75,1.81,0.29,0,0,0.53,0,0,1.59,0.33,0.01
2008,0.23,1.86,0.2,0,0,12.95,0,0,1.21,0.02,0.01
2009,1.91,2.1,0.19,0,0,33.89,0,0,0.4,0.01,0
2010,1.16,2.88,0.19,0.04,0,46.35,0,0,0.05,0.08,0.03
2011,1.12,10.57,2.81,0,13.83,35.69,0,0,0.05,0.04,0.03
2012,2.29,27.31,14.04,0,5.96,41.69,0,0,0.2,0.08,0.04
2013,4.85,44.07,2.39,0,210.48,36.62,0,0,0.89,0.08,0
2014,2.72,46.59,22.46,0,260,46.92,0,0,1.59,0.08,0.03
2015,1.8,10.38,0,0,409.44,97.92,0,0,0.49,0.22,0.01
2016,0.41,8.44,0.77,0,587.14,13.77,0,0,0.7,0.09,0.03
2017,2.34,474.24,1.93,47.3,4345.04,27.23,0,0,2.28,0.26,0.09
2018,21.2,14.4,0.54,215.59,7593.68,1564.13,0,0,1.54,0.03,0.14
2019,9.44,26.31,0.84,142.61,6752.51,1463.44,0,0,2.08,0.03,0.02
2020,8.49,70.99,0.12,84.78,5834.06,1613.33,0,0,2.4,0.16,0.26
2021,20.02,85.63,0.23,169.34,8395.52,1576.48,0,0,4.18,0.02,0.35
2022,59.96,78.19,0,499.09,8794.53,1546.21,0,0,8.41,0.06,0.31
2023,35.52,49.97,0,493.37,8108.36,1626.31,0,0,6.32,0.98,0.02
2024,16,42.95,0,0,7449.84,1710.99,0,0,12.08,0.94,0.07
2025,7.12,0.14,0,0,1439.06,270.36,0,0,1.24,0.27,8.17
