"Year","Management.action"
1999,"Three-phase cumulative limit period system introduced."
1999,"Phase 1: 70,000 pounds cumulative limit from January through March for Widow Rockfish."
1999,"Phase 2: 16,000 pounds per 2-month period April through September for Widow Rockfish."
1999,"Phase 3: 30,000 pounds per month October through December for Widow Rockfish."
1999,"Open access limit to 2,000 pounds per month of Widow Rockfish"
1999,"Phase 2 two-month limits reduced to 11,000 pounds for Widow Rockfish starting in June."
1999,"Open access month cumulative trip limit increased to 8,000 pounds of Widow Rockfish."
2000,"WA and OR restrict landings applied to 30,000 monthly limit to have midwater gear. State imposed cumulative trip limit per month applied otherwise."
2000,"Sorting of Widow Rockfish required before weighing in limited entry and open access fisheries."
2000,"New limited entry trawl gear restrictions implemented for large footrope trawl gear, small footrope trawl gear, and midwater trawl gear."
2000,"Cumulative trip limits allowed for Widow Rockfish only if small footrope or midwater trawl gear were used. Higher cumulative trip limits available to midwater gear."
2000,"30,000 pound two-month cumulative trip limit for Widow Rockfish caught with mid-water gear."
2000,"1,000 pound monthly trip limit allowed for small footrope trawl."
2000,"3,000 pound monthly trip limits for Widow Rockfish caught with limited entry fixed gear, open access gear, and exempted trawl gear. Some closures south of 40° 10' N latitude in January through April"
2001,"Similar actions as in 2000 with the following changes"
2001,"20,000 pound two-month cumulative trip limit for Widow Rockfish caught with mid-water gear in January through April and September through October. 10,000 pound two-month cumulative trip limit in other periods."
2001,"Widow Rockfish limits reduced to 1,000 pounds per month in July-September unless landed with Pacific Whiting, which is 2,000 pounds per month with a 500 pound trip limit."
2001,"Retention of Widow Rockfish prohibited beginning in October. For gears other than midwater trawl."
2002,"Rockfish Conservation Areas (RCA) established. Large footrope gear prohibited inside 275 m. Widow fishery closed most of the year except for a small amount of bycatch and small monthly limits in some months."
2003,"Widow fishery closed most of the year except for a small amount of bycatch and small monthly limits in some months."
2004,"Widow fishery closed most of the year except for a small amount of bycatch and small monthly limits in some months"
2005,"Widow fishery closed most of the year except for a small amount of bycatch and small monthly limits in some months."
2006,"Amendment 19 established essential fish habitat (EFH) boundaries and conservation areas. Widow bycatch cap in the non-tribal limited entry whiting trawl fishery increased from 200 mt to 220 mt in October"
2007,"Seasonal changes of trawl RCA boundaries and periodic closures within certain latitude boundaries (e.g., north of Cape Alava at 48°10' N latitude to the U.S.-Canada border) started in 2007. Small monthly limits for Widow Rockfish (less than 1,500 pounds per month)"
2007,"Widow bycatch cap in the non-tribal limited entry whiting trawl fishery increased from 200 mt to 220 mt in May."
2007,"Limited entry whiting trawl fishery closed due to attainment of 220 mt widow bycatch in July"
2007,"Limited entry whiting trawl fishery re-opened with 275 mt widow bycatch cap in October"
2008,"Widow bycatch cap of 275 mt adopted for limited entry whiting trawl fishery."
2008,"Limited entry whiting trawl fishery closed due to attainment of canary bycatch in August"
2008,"Limited entry whiting trawl fishery re-opened with 284 mt widow bycatch cap in October"
2008,"Small monthly limits for Widow Rockfish (less than 1,500 pounds per month)"
2009,"Sector specific bycatch caps for Widow Rockfish in the limited entry whiting trawl fishery: 105 mt for shoreside fleet, 85 mt to catcher-processors, 60 mt to motherships"
2009,"Small monthly limits for Widow Rockfish (less than 1,500 pounds per month)"
2010,"Trawl rationalization began, establishing the IFQ fishery."
2011,"Small monthly limits for Widow Rockfish (less than 1,500 pounds per month)"
