"year","seas","fleet","catch","catch_se"
1943,1,2,0,0.01
1944,1,2,0,0.01
1945,1,2,0,0.01
1946,1,2,0,0.01
1947,1,2,0,0.01
1948,1,2,0,0.01
1949,1,2,0,0.01
1950,1,2,0,0.01
1951,1,2,0,0.01
1952,1,2,0,0.01
1953,1,2,0,0.01
1954,1,2,0,0.01
1955,1,2,0,0.01
1956,1,2,0,0.01
1957,1,2,0,0.01
1958,1,2,0,0.01
1959,1,2,0,0.01
1960,1,2,0,0.01
1961,1,2,0,0.01
1962,1,2,0,0.01
1963,1,2,0,0.01
1964,1,2,0,0.01
1965,1,2,0,0.01
1966,1,2,0,0.01
1967,1,2,0,0.01
1968,1,2,0,0.01
1969,1,2,0,0.01
1970,1,2,0,0.01
1971,1,2,0,0.01
1972,1,2,0,0.01
1973,1,2,0,0.01
1974,1,2,0,0.01
1975,1,2,0,0.01
1976,1,2,0,0.01
1977,1,2,0,0.01
1978,1,2,0,0.01
1979,1,2,7344.3079441338,0.01
1980,1,2,18647.3292068905,0.01
1981,1,2,22672.8,0.01
1982,1,2,20650.5,0.01
1983,1,2,3357.17,0.01
1984,1,2,6425.92,0.01
1985,1,2,5919.6,0.01
1986,1,2,5346.79,0.01
1987,1,2,8127.6,0.01
1988,1,2,6090.58,0.01
1989,1,2,7684.59,0.01
1990,1,2,4373.87,0.01
1991,1,2,2040.17,0.01
1992,1,2,1466.21,0.01
1993,1,2,2255.97,0.01
1994,1,2,2161.9,0.01
1995,1,2,2276.82,0.01
1996,1,2,1846.39,0.01
1997,1,2,2442.52,0.01
1998,1,2,882.72,0.01
1999,1,2,2050.19,0.01
2000,1,2,3665.02,0.01
2001,1,2,1689.78,0.01
2002,1,2,251.4,0.01
2003,1,2,9.67,0.01
2004,1,2,28.74,0.01
2005,1,2,32.82,0.01
2006,1,2,12.86,0.01
2007,1,2,1.55,0.01
2008,1,2,42.15,0.01
2009,1,2,36.45,0.01
2010,1,2,54.67,0.01
2011,1,2,43.88,0.01
2012,1,2,47.36,0.01
2013,1,2,241.09,0.01
2014,1,2,306.62,0.01
2015,1,2,479.2,0.01
2016,1,2,588,0.01
2017,1,2,4852.1,0.01
2018,1,2,9374.3,0.01
2019,1,2,8157.91616180915,0.01
2020,1,2,7532.16781094722,0.01
2021,1,2,10141.3395236247,0.01
2022,1,2,10839.8353199434,0.01
2023,1,2,10228.0290797833,0.01
2024,1,2,9160.79121149873,0.01
-999,1,3,0,0.01
1916,1,3,0,0.01
1917,1,3,0,0.01
1918,1,3,0,0.01
1919,1,3,0,0.01
1920,1,3,0,0.01
1921,1,3,0,0.01
1922,1,3,0,0.01
1923,1,3,0,0.01
1924,1,3,0,0.01
1925,1,3,0,0.01
1926,1,3,0,0.01
1927,1,3,0,0.01
1928,1,3,0,0.01
1929,1,3,0,0.01
1930,1,3,0,0.01
1931,1,3,0,0.01
1932,1,3,0,0.01
1933,1,3,0,0.01
1934,1,3,0,0.01
1935,1,3,0,0.01
1936,1,3,0,0.01
1937,1,3,0,0.01
1938,1,3,0,0.01
1939,1,3,0,0.01
1940,1,3,0,0.01
1941,1,3,0,0.01
1942,1,3,0,0.01
1943,1,3,0,0.01
1944,1,3,0,0.01
1945,1,3,0,0.01
1946,1,3,0,0.01
1947,1,3,0,0.01
1948,1,3,0,0.01
1949,1,3,0,0.01
1950,1,3,0,0.01
1951,1,3,0,0.01
1952,1,3,0,0.01
1953,1,3,0,0.01
1954,1,3,0,0.01
1955,1,3,0,0.01
1956,1,3,0,0.01
1957,1,3,0,0.01
1958,1,3,0,0.01
1959,1,3,0,0.01
1960,1,3,0,0.01
1961,1,3,0,0.01
1962,1,3,0,0.01
1963,1,3,0,0.01
1964,1,3,0,0.01
1965,1,3,0,0.01
1966,1,3,3670,0.01
1967,1,3,3902,0.01
1968,1,3,1956,0.01
1969,1,3,358,0.01
1970,1,3,554,0.01
1971,1,3,701,0.01
1972,1,3,421,0.01
1973,1,3,656,0.01
1974,1,3,418,0.01
1975,1,3,391.16,0.01
1976,1,3,718.52,0.01
1977,1,3,119.34,0.01
1978,1,3,191.88,0.01
1979,1,3,197.9,0.01
1980,1,3,272,0.01
1981,1,3,227.95,0.01
1982,1,3,157.51,0.01
1983,1,3,131.46,0.01
1984,1,3,294.74,0.01
1985,1,3,182.61,0.01
1986,1,3,256.77,0.01
1987,1,3,181.31,0.01
1988,1,3,231.61,0.01
1989,1,3,211.96,0.01
1990,1,3,230.18,0.01
1991,1,3,562.23,0.01
1992,1,3,451.49,0.01
1993,1,3,275.75,0.01
1994,1,3,612.07,0.01
1995,1,3,464.72,0.01
1996,1,3,837.74,0.01
1997,1,3,378.81,0.01
1998,1,3,614.99,0.01
1999,1,3,386.14,0.01
2000,1,3,288.67,0.01
2001,1,3,218.63,0.01
2002,1,3,159.98,0.01
2003,1,3,27.1,0.01
2004,1,3,49.57,0.01
2005,1,3,157.99,0.01
2006,1,3,193.19,0.01
2007,1,3,228.39,0.01
2008,1,3,217.96,0.01
2009,1,3,135.35,0.01
2010,1,3,106.35,0.01
2011,1,3,149.65,0.01
2012,1,3,181.43,0.01
2013,1,3,176.41,0.01
2014,1,3,342.16,0.01
2015,1,3,386.2,0.01
2016,1,3,440.8,0.01
2017,1,3,1455.2,0.01
2018,1,3,1081.3,0.01
2019,1,3,1101.55148125787,0.01
2020,1,3,746.694411687367,0.01
2021,1,3,617.298069237072,0.01
2022,1,3,1119.03115041666,0.01
2023,1,3,673.160862962769,0.01
2024,1,3,533.84025578855,0.01
-999,1,4,0,0.01
1916,1,4,0,0.01
1917,1,4,0,0.01
1918,1,4,0,0.01
1919,1,4,0,0.01
1920,1,4,0,0.01
1921,1,4,0,0.01
1922,1,4,0,0.01
1923,1,4,0,0.01
1924,1,4,0,0.01
1925,1,4,0,0.01
1926,1,4,0,0.01
1927,1,4,0,0.01
1928,1,4,0,0.01
1929,1,4,0,0.01
1930,1,4,0,0.01
1931,1,4,0,0.01
1932,1,4,0,0.01
1933,1,4,0,0.01
1934,1,4,0,0.01
1935,1,4,0,0.01
1936,1,4,0,0.01
1937,1,4,0,0.01
1938,1,4,0,0.01
1939,1,4,0,0.01
1940,1,4,0,0.01
1941,1,4,0,0.01
1942,1,4,0,0.01
1943,1,4,0,0.01
1944,1,4,0,0.01
1945,1,4,0,0.01
1946,1,4,0,0.01
1947,1,4,0,0.01
1948,1,4,0,0.01
1949,1,4,0,0.01
1950,1,4,0,0.01
1951,1,4,0,0.01
1952,1,4,0,0.01
1953,1,4,0,0.01
1954,1,4,0,0.01
1955,1,4,0,0.01
1956,1,4,0,0.01
1957,1,4,0,0.01
1958,1,4,0,0.01
1959,1,4,0,0.01
1960,1,4,0,0.01
1961,1,4,0,0.01
1962,1,4,0,0.01
1963,1,4,0,0.01
1964,1,4,0,0.01
1965,1,4,0,0.01
1966,1,4,0,0.01
1967,1,4,0,0.01
1968,1,4,0,0.01
1969,1,4,0,0.01
1970,1,4,0,0.01
1971,1,4,0,0.01
1972,1,4,0,0.01
1973,1,4,0,0.01
1974,1,4,0,0.01
1975,1,4,0,0.01
1976,1,4,0,0.01
1977,1,4,0,0.01
1978,1,4,0,0.01
1979,1,4,0,0.01
1980,1,4,0,0.01
1981,1,4,15.51,0.01
1982,1,4,38.11,0.01
1983,1,4,279.96,0.01
1984,1,4,324.8,0.01
1985,1,4,585.78,0.01
1986,1,4,500.83,0.01
1987,1,4,584.62,0.01
1988,1,4,220.71,0.01
1989,1,4,253.61,0.01
1990,1,4,411.15,0.01
1991,1,4,234.8,0.01
1992,1,4,45.43,0.01
1993,1,4,51.61,0.01
1994,1,4,58.4,0.01
1995,1,4,57.58,0.01
1996,1,4,16.12,0.01
1997,1,4,16.36,0.01
1998,1,4,48.73,0.01
1999,1,4,10.03,0.01
2000,1,4,6.76,0.01
2001,1,4,7.03,0.01
2002,1,4,0.02,0.01
2003,1,4,0.41,0.01
2004,1,4,0,0.01
2005,1,4,0.13,0.01
2006,1,4,0,0.01
2007,1,4,2.91,0.01
2008,1,4,0,0.01
2009,1,4,0.21,0.01
2010,1,4,0,0.01
2011,1,4,0,0.01
2012,1,4,0,0.01
2013,1,4,0,0.01
2014,1,4,0.03,0.01
2015,1,4,0,0.01
2016,1,4,0,0.01
2017,1,4,0,0.01
2018,1,4,0,0.01
2019,1,4,0,0.01
2020,1,4,0.00181436948152151,0.01
2021,1,4,0,0.01
2022,1,4,0.0548846768160258,0.01
2023,1,4,0,0.01
2024,1,4,0,0.01
-999,1,5,0,0.01
1916,1,5,72.11,0.01
1917,1,5,112.22,0.01
1918,1,5,128.84,0.01
1919,1,5,88.9,0.01
1920,1,5,91.01,0.01
1921,1,5,75.48,0.01
1922,1,5,65.58,0.01
1923,1,5,72.1,0.01
1924,1,5,46.64,0.01
1925,1,5,59.17,0.01
1926,1,5,85.96,0.01
1927,1,5,66.81,0.01
1928,1,5,72.8,0.01
1929,1,5,63.4,0.01
1930,1,5,91.56,0.01
1931,1,5,79.52,0.01
1932,1,5,77.96,0.01
1933,1,5,51.34,0.01
1934,1,5,60.23,0.01
1935,1,5,68.36,0.01
1936,1,5,85.48,0.01
1937,1,5,67.63,0.01
1938,1,5,50.56,0.01
1939,1,5,34.89,0.01
1940,1,5,45.37,0.01
1941,1,5,35.94,0.01
1942,1,5,13.27,0.01
1943,1,5,21.91,0.01
1944,1,5,39.37,0.01
1945,1,5,67.92,0.01
1946,1,5,70.98,0.01
1947,1,5,92.01,0.01
1948,1,5,40.86,0.01
1949,1,5,44.52,0.01
1950,1,5,64.15,0.01
1951,1,5,49.69,0.01
1952,1,5,40.42,0.01
1953,1,5,14.03,0.01
1954,1,5,21.71,0.01
1955,1,5,18.65,0.01
1956,1,5,42.04,0.01
1957,1,5,37.97,0.01
1958,1,5,36.74,0.01
1959,1,5,28.83,0.01
1960,1,5,22.08,0.01
1961,1,5,15.44,0.01
1962,1,5,15.8,0.01
1963,1,5,19.95,0.01
1964,1,5,13.11,0.01
1965,1,5,20.75,0.01
1966,1,5,37.81,0.01
1967,1,5,33.03,0.01
1968,1,5,20.07,0.01
1969,1,5,19.98,0.01
1970,1,5,9.86,0.01
1971,1,5,12.04,0.01
1972,1,5,20.15,0.01
1973,1,5,18.25,0.01
1974,1,5,44.4,0.01
1975,1,5,30,0.01
1976,1,5,41.7,0.01
1977,1,5,40.75,0.01
1978,1,5,161.22,0.01
1979,1,5,103.47,0.01
1980,1,5,59.63,0.01
1981,1,5,71.45,0.01
1982,1,5,186.56,0.01
1983,1,5,33.73,0.01
1984,1,5,26.62,0.01
1985,1,5,27.16,0.01
1986,1,5,83.39,0.01
1987,1,5,55.12,0.01
1988,1,5,73.46,0.01
1989,1,5,45.1,0.01
1990,1,5,134.37,0.01
1991,1,5,95.2,0.01
1992,1,5,175.5,0.01
1993,1,5,108.96,0.01
1994,1,5,81.71,0.01
1995,1,5,26.32,0.01
1996,1,5,32.67,0.01
1997,1,5,37.98,0.01
1998,1,5,86.57,0.01
1999,1,5,43.77,0.01
2000,1,5,14.48,0.01
2001,1,5,7.23,0.01
2002,1,5,0.57,0.01
2003,1,5,0.82,0.01
2004,1,5,0.31,0.01
2005,1,5,1.22,0.01
2006,1,5,0.88,0.01
2007,1,5,1.93,0.01
2008,1,5,1.25,0.01
2009,1,5,0.41,0.01
2010,1,5,0.15,0.01
2011,1,5,0.12,0.01
2012,1,5,0.33,0.01
2013,1,5,0.98,0.01
2014,1,5,1.84,0.01
2015,1,5,2.04,0.01
2016,1,5,0.82,0.01
2017,1,5,2.66,0.01
2018,1,5,1.5,0.01
2019,1,5,1.16579515091794,0.01
2020,1,5,2.31381315047924,0.01
2021,1,5,3.88419523700614,0.01
2022,1,5,7.63212254440173,0.01
2023,1,5,5.17077158538816,0.01
2024,1,5,9.60547615174156,0.01
