"cap","table.Year","table.Age0","table.Age1","table.Age2","table.Age3","table.Age4","table.Age5","table.Age6","table.Age7","table.Age8","table.Age9","table.Age10","table.Age11","table.Age12","table.Age13","table.Age14","table.Age15","table.Age16","table.Age17","table.Age18","table.Age19","table.Age20","table.Age21","table.Age22","table.Age23","table.Age24","table.Age25","table.Age26","table.Age27","table.Age28","table.Age29","table.Age30","table.Age31","table.Age32","table.Age33","table.Age34","table.Age35","table.Age36","table.Age37","table.Age38","table.Age39","table.Age40"
"Biomass at age for female from the base model.",1926,69.0766,297.566,803.389,1591.75,2600.53,3429.81,3990.67,4284.53,4355.79,4260.95,4053.38,3777.55,3465.82,3142.7,2824.48,2521.6,2239.92,1982.02,1748.48,1538.74,1351.58,1185.4,1038.44,908.849,794.854,694.759,606.994,530.798,463.382,404.446,352.949,307.971,268.697,234.414,204.493,178.382,155.6,135.723,118.383,103.256,704.536
"Biomass at age for female from the base model.",1927,68.9223,296.967,801.925,1589.09,2596.55,3424.89,3985.08,4278.74,4350.16,4255.97,4049.27,3773.89,3463.57,3141.12,2823.2,2520.19,2238.22,1980.18,1746.71,1537.14,1350.19,1184.21,1037.42,907.984,794.117,694.131,606.459,529.671,463.059,404.164,352.703,307.756,268.51,234.25,204.35,178.258,155.491,135.628,118.3,103.184,704.044
"Biomass at age for female from the base model.",1928,68.7541,296.304,800.311,1586.19,2592.21,3419.74,3979.6,4273.14,4344.75,4250.94,4045,3770.5,3460.62,3139.44,2822.11,2519.34,2237.23,1978.9,1745.28,1535.76,1348.95,1183.14,1036.5,907.201,793.453,693.568,605.981,529.265,462.13,403.929,352.498,307.576,268.353,234.114,204.231,178.154,155.401,135.549,118.231,103.124,703.634
"Biomass at age for female from the base model.",1929,68.5693,295.58,798.524,1583,2587.48,3413.98,3973.49,4267.04,4338.77,4245.34,4039.9,3766.22,3457.23,3136.51,2820.37,2518.16,2236.29,1977.86,1744.01,1534.39,1347.63,1181.95,1035.47,906.32,792.703,692.931,605.44,528.805,461.738,403.085,352.263,307.372,268.175,233.958,204.095,178.035,155.297,135.459,118.153,103.055,703.166
"Biomass at age for female from the base model.",1930,68.3673,294.786,796.575,1579.46,2582.28,3407.79,3966.89,4260.6,4332.68,4239.58,4034.65,3761.54,3453.36,3133.49,2817.78,2516.65,2235.27,1977.06,1743.12,1533.29,1346.44,1180.81,1034.45,905.434,791.945,692.286,604.893,528.34,461.343,402.749,351.532,307.172,268,233.806,203.962,177.92,155.196,135.371,118.076,102.988,702.709
"Biomass at age for female from the base model.",1931,68.145,293.917,794.435,1575.61,2576.5,3400.81,3959.32,4252.91,4325.4,4232.87,4028.43,3755.94,3448.42,3129.39,2814.54,2513.87,2233.51,1975.79,1742.09,1532.22,1345.22,1179.55,1033.26,904.37,791.023,691.495,604.217,527.763,460.851,402.329,351.174,306.477,267.776,233.61,203.792,177.77,155.066,135.258,117.977,102.902,702.12
"Biomass at age for female from the base model.",1932,67.9027,292.962,792.093,1571.37,2570.21,3393.25,3951.38,4245.08,4317.94,4226.12,4022.41,3750.5,3443.6,3125.2,2811.11,2511.2,2231.25,1974.42,1741.13,1531.45,1344.41,1178.59,1032.24,903.41,790.165,690.752,603.58,527.221,460.39,401.936,350.839,306.192,267.195,233.436,203.639,177.638,154.95,135.157,117.889,102.825,701.595
"Biomass at age for female from the base model.",1933,67.6382,291.92,789.519,1566.74,2563.31,3384.98,3942.61,4236.57,4309.99,4218.82,4015.99,3744.88,3438.6,3120.82,2807.34,2508.14,2228.87,1972.41,1739.91,1530.6,1343.73,1177.87,1031.41,902.523,789.323,690.001,602.93,526.665,459.915,401.533,350.496,305.9,266.945,232.928,203.487,177.504,154.834,135.055,117.8,102.748,701.069
"Biomass at age for female from the base model.",1934,67.3502,290.783,786.712,1561.65,2555.77,3375.99,3933.28,4227.57,4301.8,4211.49,4009.46,3739.28,3433.78,3116.6,2803.69,2505.02,2226.37,1970.5,1738.31,1529.68,1343.12,1177.39,1030.88,901.877,788.626,689.333,602.334,526.149,459.475,401.159,350.178,305.63,266.716,232.734,203.064,177.389,154.733,134.967,117.724,102.681,700.612
"Biomass at age for female from the base model.",1935,67.0355,289.545,783.647,1556.1,2547.45,3366.02,3922.73,4217.42,4292.5,4203.33,4002.34,3733.06,3428.52,3112.12,2799.78,2501.66,2223.52,1968.22,1736.57,1528.22,1342.26,1176.81,1030.42,901.382,788.033,688.699,601.729,525.609,459.008,400.76,349.839,305.342,266.472,232.526,202.887,177.014,154.627,134.874,117.643,102.61,700.129
"Biomass at age for female from the base model.",1936,66.6911,288.192,780.31,1550.04,2538.39,3355.04,3911.04,4205.94,4281.99,4194.03,3994.38,3726.23,3422.64,3107.19,2795.61,2498.05,2220.43,1965.59,1734.46,1526.61,1340.9,1176,1029.86,900.935,787.558,688.144,601.143,525.053,458.512,400.331,349.472,305.03,266.206,232.3,202.695,176.85,154.292,134.774,117.555,102.534,699.609
"Biomass at age for female from the base model.",1937,66.3127,286.711,776.664,1543.44,2528.5,3343.04,3898.08,4193.09,4269.95,4183.37,3985.17,3718.47,3416.06,3101.57,2790.92,2494.1,2217.01,1962.68,1731.99,1524.61,1339.36,1174.7,1029.05,900.359,787.094,687.665,600.603,524.493,457.985,399.862,349.066,304.682,265.91,232.047,202.479,176.666,154.135,134.47,117.457,102.449,699.025
"Biomass at age for female from the base model.",1938,65.8959,285.085,772.673,1536.22,2517.74,3330.07,3884.3,4179.42,4257.14,4171.83,3975.24,3710.08,3409.11,3095.75,2786.01,2490.03,2213.61,1959.75,1729.5,1522.51,1337.68,1173.41,1027.96,899.695,786.628,687.293,600.213,524.047,457.518,399.42,348.673,304.342,265.619,231.799,202.268,176.487,153.981,134.339,117.197,102.368,698.474
"Biomass at age for female from the base model.",1939,65.4352,283.293,768.29,1528.33,2505.98,3315.97,3869.48,4165.07,4243.8,4159.89,3964.84,3701.37,3401.91,3089.9,2781.19,2486,2210.32,1957.03,1727.17,1520.54,1336.03,1172.1,1026.98,898.875,786.163,686.986,599.976,523.783,457.195,399.071,348.34,304.044,265.361,231.579,202.082,176.328,153.847,134.225,117.1,102.156,698.025
"Biomass at age for female from the base model.",1940,64.9293,281.312,763.461,1519.66,2493.11,3300.55,3853.26,4149.4,4229.47,4147.08,3953.69,3691.87,3394.09,3083.53,2776.07,2481.83,2206.86,1954.22,1724.86,1518.57,1334.37,1170.71,1025.89,898.06,785.485,686.613,599.737,523.601,456.988,398.809,348.052,303.768,265.114,231.366,201.9,176.174,153.717,134.115,117.007,102.077,697.484
"Biomass at age for female from the base model.",1941,64.3751,279.138,758.123,1510.11,2478.96,3283.51,3834.96,4131.23,4212.46,4131.81,3940.23,3680.25,3384.23,3075.38,2769.38,2476.4,2202.38,1950.47,1721.78,1516.01,1332.17,1168.85,1024.31,896.793,784.499,685.782,599.203,523.211,456.67,398.489,347.702,303.411,264.781,231.07,201.644,175.955,153.529,133.955,116.87,101.96,696.7
"Biomass at age for female from the base model.",1942,63.7737,276.755,752.262,1499.55,2463.38,3264.89,3815.17,4111.53,4193.83,4114.95,3925.46,3667.45,3373.32,3066.21,2761.85,2470.24,2197.39,1946.37,1718.35,1513.19,1329.82,1166.84,1022.6,895.348,783.33,684.867,598.43,522.704,456.293,398.181,347.396,303.083,264.449,230.762,201.37,175.717,153.326,133.78,116.721,101.833,695.86
"Biomass at age for female from the base model.",1943,63.1413,274.169,745.841,1487.96,2446.17,3244.43,3793.57,4090.19,4173.51,4096.29,3908.92,3653.19,3361.09,3055.87,2753.2,2463.15,2191.6,1941.66,1714.47,1509.94,1327.14,1164.6,1020.69,893.717,781.949,683.743,597.541,521.95,455.781,397.792,347.074,302.77,264.123,230.438,201.07,175.452,153.096,133.583,116.552,101.687,694.912
"Biomass at age for female from the base model.",1944,62.4834,271.451,738.873,1475.26,2427.24,3221.3,3767.42,4061.52,4143.62,4066.79,3881.2,3628.08,3338.92,3036.44,2736.35,2448.65,2179.26,1931.17,1705.58,1502.35,1320.62,1159.02,1015.9,889.563,778.356,680.641,594.903,519.726,453.86,396.242,345.772,301.648,263.116,229.513,200.23,174.704,152.44,133.012,116.056,101.258,692.03
"Biomass at age for female from the base model.",1945,61.7965,268.622,731.546,1461.47,2406.49,3195.74,3737.29,4025.93,4103.28,4024.42,3839.52,3589.02,3303.48,3004.94,2708.57,2424.34,2158.11,1912.93,1689.85,1488.82,1308.93,1148.89,1007.15,881.985,771.759,674.908,589.926,515.441,450.188,393.053,343.099,299.36,261.134,227.759,198.66,173.305,151.206,131.932,115.115,100.439,686.502
"Biomass at age for female from the base model.",1946,61.0898,265.669,723.923,1446.98,2383.96,3167.5,3702.95,3982.92,4051.28,3966.47,3780.1,3531.65,3250.26,2956.84,2665.79,2386.55,2124.94,1883.94,1664.66,1466.96,1289.99,1132.44,992.839,869.564,760.962,665.495,581.728,508.308,444.012,387.721,338.46,295.407,257.723,224.796,196.054,170.997,149.167,130.142,113.551,99.075,677.252
"Biomass at age for female from the base model.",1947,60.4438,262.631,715.965,1431.9,2360.34,3138.37,3673.15,3953.27,4018.43,3928.47,3738.37,3489.32,3209.86,2919.82,2632.73,2357.49,2099.51,1861.81,1645.48,1450.42,1275.73,1120.18,982.237,860.374,753.017,658.608,575.734,503.097,439.485,383.815,335.102,292.489,255.259,222.679,194.217,169.377,147.724,128.862,112.424,98.0897,670.584
"Biomass at age for female from the base model.",1948,59.853,259.853,707.778,1416.16,2335.76,3107.83,3642.63,3929.36,4000.49,3910.74,3717.19,3465,3184.7,2895.74,2610.84,2338.2,2082.82,1847.41,1633.13,1439.85,1266.76,1112.55,975.766,854.84,748.256,654.529,572.222,500.05,436.846,381.533,333.15,290.831,253.823,221.497,193.214,168.511,146.953,128.163,111.796,97.5332,666.825
"Biomass at age for female from the base model.",1949,59.3235,257.314,700.293,1399.97,2310.11,3075.83,3608.61,3899.63,3980.37,3897.89,3705.1,3449.87,3166.68,2876.86,2592.77,2321.86,2068.55,1835.19,1622.67,1430.97,1259.23,1106.21,970.428,850.349,744.443,651.265,569.443,497.668,434.785,379.752,331.614,289.525,252.723,220.547,192.447,167.866,146.398,127.665,111.339,97.1185,663.973
"Biomass at age for female from the base model.",1950,58.8946,255.038,693.448,1385.16,2283.7,3042.17,3572.09,3864.77,3952.64,3881.11,3695.86,3441.49,3155.51,2863.03,2578.07,2307.77,2055.86,1824.18,1613.32,1423.03,1252.53,1100.58,965.731,846.426,741.17,648.505,567.092,495.677,433.087,378.286,330.351,288.439,251.805,219.78,191.787,167.344,145.964,127.293,111.002,96.8052,661.705
"Biomass at age for female from the base model.",1951,58.6166,253.193,687.314,1371.62,2259.54,3007.26,3532.53,3824.72,3916.01,3852.6,3678.46,3431.47,3146.51,2851.71,2564.58,2293.71,2042.51,1812.21,1602.96,1414.22,1245.05,1094.26,960.4,841.968,737.434,645.377,564.446,493.419,431.169,376.647,328.934,287.217,250.753,218.889,191.038,166.698,145.447,126.861,110.631,96.4711,659.178
"Biomass at age for female from the base model.",1952,58.5519,251.999,682.344,1359.49,2237.45,2975.33,3491.21,3780.36,3872.33,3813.2,3647.56,3411.54,3133.82,2840.34,2551.51,2279.08,2027.72,1798.37,1590.6,1403.51,1235.91,1086.47,953.779,836.353,732.703,641.382,561.074,490.549,428.709,374.546,327.13,285.655,249.402,217.722,190.043,165.855,144.718,126.266,110.128,96.0372,655.932
"Biomass at age for female from the base model.",1953,58.7929,251.72,679.124,1349.66,2217.66,2946.28,3454.25,3736.34,3827.66,3770.92,3610.5,3383.11,3115.82,2829.07,2541.51,2267.62,2014.93,1785.47,1578.56,1392.79,1226.64,1078.57,947.052,830.644,727.865,637.31,557.638,487.652,426.244,372.433,325.328,284.107,248.062,216.563,189.043,165.003,143.997,125.641,109.619,95.607,652.782
"Biomass at age for female from the base model.",1954,59.4311,252.756,678.374,1343.29,2201.64,2920.39,3421.15,3698.02,3784.79,3729.34,3572.43,3350.63,3091.63,2814.45,2532.89,2260.04,2005.96,1775.24,1568.15,1383.05,1217.98,1071.1,940.714,825.266,723.318,633.471,554.421,484.949,423.974,370.508,323.682,282.707,246.862,215.525,188.147,164.23,143.34,125.088,109.141,95.2204,650.053
"Biomass at age for female from the base model.",1955,60.5473,255.5,681.166,1341.81,2191.25,2899.29,3391.15,3662.81,3746.36,3688.05,3533.56,3315.81,3062.43,2793.04,2520.21,2252.74,1999.58,1767.63,1559.42,1374.15,1209.66,1063.71,934.352,819.876,718.752,629.616,551.171,482.229,421.692,368.595,322.061,281.322,245.685,214.518,187.276,163.478,142.692,124.537,108.677,94.8204,647.452
"Biomass at age for female from the base model.",1956,62.1651,260.299,688.56,1347.33,2188.83,2885.59,3366.53,3630.39,3710.23,3650.05,3493.85,3279.16,3030.07,2766.16,2500.59,2241.05,1992.76,1761.68,1552.45,1366.25,1201.66,1056.24,927.735,814.182,713.927,625.526,547.716,479.314,419.25,366.544,320.339,279.862,244.437,213.456,186.366,162.691,142.012,123.952,108.179,94.4006,644.727
"Biomass at age for female from the base model.",1957,64.1396,267.254,701.492,1361.96,2197.82,2882.15,3349.55,3601.71,3674.03,3610.96,3453.85,3238.43,2992.93,2733.58,2473.47,2220.86,1979.97,1753.5,1545.31,1358.46,1193.26,1047.96,920.085,807.414,708.09,620.557,543.484,475.72,416.2,363.969,318.161,278.02,242.867,212.108,185.213,161.7,141.153,123.209,107.537,93.8516,641.199
"Biomass at age for female from the base model.",1958,66.0182,275.742,720.236,1387.53,2221.67,2893.8,3344.49,3580.98,3641.16,3571.2,3412.14,3196.75,2951.42,2696.07,2440.7,2193.5,1959.2,1739.64,1535.83,1350.19,1184.68,1039.08,911.5,799.556,701.152,614.561,538.359,471.337,412.459,360.78,315.453,275.717,240.907,210.43,183.768,160.459,140.083,122.28,106.732,93.1545,636.707
"Biomass at age for female from the base model.",1959,67.1028,283.819,743.112,1424.61,2263.4,2925.28,3358.36,3576.4,3621.43,3540.67,3376.05,3159.59,2914.79,2659.93,2408.35,2165.46,1935.98,1722.21,1524.41,1342.54,1178.03,1032.1,904.206,792.472,694.657,608.828,533.41,467.113,408.853,357.707,312.837,273.5,239.024,208.831,182.401,159.283,139.074,121.411,105.978,92.5011,632.511
"Biomass at age for female from the base model.",1960,66.9555,288.481,764.878,1469.86,2323.88,2980.28,3395.11,3591.68,3617.4,3522.17,3347.88,3126.83,2881.53,2627.49,2376.59,2137.23,1911.65,1702.17,1509.47,1332.86,1171.62,1026.53,898.327,786.303,688.654,603.322,528.55,462.921,405.278,354.657,310.241,271.291,237.154,207.244,181.054,158.132,138.085,120.562,105.248,91.8677,628.448
"Biomass at age for female from the base model.",1961,66.1525,287.848,777.443,1512.91,2397.69,3059.74,3457.98,3628.69,3629.44,3514.26,3326.27,3096.75,2847.91,2594.07,2344.47,2106.22,1884.2,1678.53,1489.91,1318.02,1161.6,1019.57,892.28,780.143,682.377,597.305,523.067,458.088,401.102,351.085,307.183,268.679,234.924,205.347,179.438,156.754,136.904,119.544,104.372,91.1122,623.538
"Biomass at age for female from the base model.",1962,66.1639,284.396,775.736,1537.76,2467.93,3157.12,3551.17,3698.07,3669.99,3529.58,3322.51,3080.32,2823.84,2566.85,2317.41,2080.25,1859.1,1656.41,1470.98,1302.5,1150.05,1012.07,887.299,775.824,677.845,592.573,518.474,453.881,397.392,347.885,304.455,266.351,232.942,203.661,178.009,155.542,135.874,118.664,103.615,90.4631,619.379
"Biomass at age for female from the base model.",1963,68.1231,284.445,766.433,1534.39,2508.47,3249.49,3663.57,3796.32,3738.12,3566.69,3334.61,3074.56,2806.74,2543.22,2291.35,2054.67,1834.76,1633.08,1450.48,1284.97,1135.64,1001.24,880.094,770.898,673.573,588.184,513.97,449.549,393.439,344.402,301.448,263.782,230.745,201.786,176.411,154.185,134.719,117.681,102.773,89.7377,614.738
"Biomass at age for female from the base model.",1964,71.0047,292.868,766.566,1515.99,2502.98,3303.32,3773.23,3922.17,3845.68,3642.27,3379.13,3094.78,2809.83,2535.42,2277.11,2037.71,1817.7,1616.61,1434.4,1270.91,1123.76,991.697,873.323,766.966,671.334,586.256,511.716,447,390.87,342.014,299.338,261.972,229.215,200.493,175.32,153.265,133.95,117.036,102.232,89.2794,611.948
"Biomass at age for female from the base model.",1965,74.3439,305.256,789.264,1516.25,2472.95,3295.88,3834.49,4036.61,3968.84,3742.16,3445.81,3131.43,2824.02,2534.32,2266.63,2021.92,1799.91,1599.09,1417.73,1254.88,1109.74,979.798,863.66,759.884,666.873,583.401,509.248,444.35,388.052,339.254,296.802,259.735,227.289,198.854,173.925,152.081,132.945,116.187,101.514,88.6716,608.181
"Biomass at age for female from the base model.",1966,78.0848,319.611,822.651,1561.15,2473.4,3256.81,3828.47,4108.41,4093.88,3872.51,3550.79,3203.06,2866.44,2555.19,2272.87,2019.05,1791.68,1588.51,1406.86,1244.27,1099.26,970.687,856.036,753.889,662.837,581.385,508.395,443.626,386.989,337.889,295.352,258.361,226.072,197.816,173.058,151.356,132.341,115.686,101.101,88.3314,606.327
"Biomass at age for female from the base model.",1967,77.8657,335.694,861.333,1627.18,2546.54,3255.17,3769.3,4062.54,4096.19,3900.3,3569,3194.07,2830.29,2499.47,2206.01,1947.55,1720.15,1519.74,1342.84,1186.17,1046.95,923.472,814.46,717.573,631.475,554.883,486.475,425.249,370.969,323.537,282.44,246.85,215.911,188.912,165.29,144.595,126.458,110.568,96.6501,84.4638,580.311
"Biomass at age for female from the base model.",1968,73.0246,334.752,904.675,1703.69,2654.22,3350.81,3763.95,3991.01,4036.26,3884.77,3575.71,3192.08,2805.37,2452.64,2144.26,1878.15,1648.52,1449.59,1276.32,1124.78,991.517,873.752,769.748,678.227,597.096,525.145,461.238,404.23,353.255,308.098,268.658,234.5,204.93,179.23,156.808,137.193,120.012,104.954,91.7642,80.2119,551.679
"Biomass at age for female from the base model.",1969,62.6051,313.94,902.138,1789.42,2779.1,3494.23,3884.41,4011.19,4009.26,3886.18,3626.71,3263.53,2865,2486.57,2153.46,1869.19,1628.22,1423.1,1247.27,1095.4,963.444,847.99,746.38,656.924,578.396,508.918,447.393,392.812,344.167,300.703,262.219,228.623,199.535,174.36,152.484,133.401,116.71,102.091,89.2799,78.0581,537.48
"Biomass at age for female from the base model.",1970,253.041,269.145,846.052,1784.41,2918.99,3659.4,4055.58,4153.77,4055.21,3895.75,3669.68,3353.46,2970.77,2577.41,2216.99,1906.85,1646.42,1428.33,1244.45,1088.02,953.719,837.58,736.354,647.533,569.521,501.164,440.772,387.355,340.008,297.841,260.185,226.858,197.773,172.596,150.811,131.883,115.374,100.936,88.2904,77.2098,532.292
"Biomass at age for female from the base model.",1971,206.989,1087.85,725.333,1673.47,2910.82,3843.88,4248.47,4338.95,4201.69,3942.28,3679.98,3393.95,3053.02,2672.71,2298,1963.06,1679.51,1444.19,1248.92,1085.46,947.198,829.041,727.237,638.766,561.318,493.419,434.008,381.579,335.246,294.208,257.679,225.072,196.223,171.052,149.268,130.421,114.048,99.7687,87.2813,76.3451,527.01
"Biomass at age for female from the base model.",1972,27.6358,889.866,2931.7,1434.69,2729.85,3832.89,4461.31,4542.07,4383.93,4078.48,3717.33,3396.88,3083.56,2740.89,2377.82,2030.33,1725.18,1469.94,1259.97,1086.92,942.842,821.517,718.198,629.432,552.465,485.211,426.333,374.871,329.499,289.43,253.958,222.398,194.236,169.327,147.597,128.794,112.527,98.3982,86.0763,75.3013,520.512
"Biomass at age for female from the base model.",1973,23.2622,118.809,2398.14,5798.82,2340.34,3594.55,4448.63,4770.51,4591.51,4259.16,3850.47,3436.41,3091.31,2773.21,2442.99,2104.85,1787.77,1512.89,1284.98,1098.73,946.012,819.393,713.125,622.873,545.502,478.533,420.097,368.995,324.369,285.05,250.345,219.636,192.322,167.956,146.408,127.613,111.351,97.2852,85.0679,74.414,515.059
"Biomass at age for female from the base model.",1974,31.4421,100.007,320.184,4743.47,9459.3,3081.58,4171.33,4754.76,4818.31,4455.33,4014.88,3553.25,3121.35,2774.64,2466.7,2158,1849.44,1564.4,1319.66,1118.1,954.199,820.343,709.716,617.109,538.626,471.457,413.4,362.794,318.578,279.991,246.011,216.032,189.513,165.932,144.9,126.304,110.086,96.0552,83.9193,73.3792,508.448
"Biomass at age for female from the base model.",1975,66.0562,135.172,269.513,633.317,7737.75,12455.5,3576.75,4461.08,4807.8,4682.85,4208,3713.13,3235.13,2808.55,2474.27,2184.61,1901.13,1622.67,1368.24,1151.36,973.64,829.68,712.464,615.827,535.092,466.781,408.395,357.982,314.077,275.741,242.303,212.87,186.911,163.954,143.545,125.345,109.254,95.2226,83.0842,72.5858,503.223
"Biomass at age for female from the base model.",1976,21.2384,283.982,364.283,533.09,1033.1,10189,14458.7,3826.13,4512.46,4674.75,4425.17,3893.92,3382.69,2912.69,2506.06,2192.69,1925.8,1669.08,1420.11,1194.51,1003.25,847.129,721.038,618.61,534.324,464.018,404.605,353.877,310.111,272.021,238.78,209.798,184.295,161.808,141.926,124.253,108.494,94.5641,82.4174,71.91,498.339
"Biomass at age for female from the base model.",1977,121.859,91.3059,765.317,720.542,869.597,1360.28,11823.5,15453.3,3864.45,4378.72,4406.82,4083.84,3537.16,3036.4,2590.98,2213.9,1926.78,1685.33,1456.03,1235.79,1037.48,870.054,733.806,624.014,534.988,461.839,400.896,349.447,305.553,267.708,234.788,206.071,181.041,159.021,139.609,122.449,107.197,93.5992,81.5795,71.0994,491.912
"Biomass at age for female from the base model.",1978,186.176,523.883,246.065,1513.78,1175.38,1144.97,1578.41,12638.3,15617.1,3754.37,4134.98,4075.78,3718.94,3183.66,2708.72,2295.67,1951.3,1691.37,1474.77,1271.01,1076.71,902.585,756.057,637.086,541.383,463.891,400.291,347.352,302.695,264.619,231.807,203.276,178.395,156.714,137.645,120.837,105.98,92.777,81.0064,70.6026,487.228
"Biomass at age for female from the base model.",1979,59.2078,800.386,1411.84,486.71,2469.27,1547.23,1327.53,1684.63,12745.4,15134.5,3535.77,3813.54,3700.85,3337.44,2831.69,2392.86,2017.34,1707.77,1475.62,1283.51,1104.08,933.904,781.971,654.433,551.064,468.026,400.86,345.785,299.976,261.356,228.443,200.091,175.446,153.96,135.241,118.779,104.271,91.4479,80.0534,69.8958,481.294
"Biomass at age for female from the base model.",1980,102.532,254.54,2156.98,2792.56,793.8,3240.58,1768.04,1371.99,1620.33,11674.4,13417.2,3065.84,3255.98,3125.04,2795.52,2357.72,1983.38,1666.41,1407,1213.3,1053.7,905.303,765.053,640.125,535.418,450.649,382.61,327.614,282.543,245.072,213.493,186.588,163.418,143.281,125.728,110.437,96.9917,85.1428,74.6709,65.3659,450.04
"Biomass at age for female from the base model.",1981,170.425,440.794,685.957,4266.35,4553.19,1035.73,3600.75,1714.66,1199.16,1322.16,9135.8,10240.5,2304.73,2424.59,2312.9,2060.59,1733.04,1455.02,1220.76,1029.67,887.238,770.089,661.349,558.708,467.357,390.834,328.907,279.216,239.06,206.157,178.807,155.76,136.126,119.219,104.527,91.7199,80.5641,70.7548,62.1106,54.4712,375.966
