"SPECIFICATION_TYPE","SPECIFICATION_NAME","YEAR","VAL","STOCK_NAME","AREA_NAME","OUTPUT_ORDER"
"ALLOC_TWL_MT","Allocation Trawl MT",2012,490.581,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2018,11317.943,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2025,10718.7,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2017,12094.173,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2026,9873.7,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2024,10843.68,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2023,11985.68,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2021,14076.68,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2022,13139.68,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2020,9965.046,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2019,10540.166,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2016,1710.618,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2015,1710.618,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2013,1283.828,"Widow Rockfish","CW",13.3
"ALLOC_TWL_MT","Allocation Trawl MT",2014,1283.828,"Widow Rockfish","CW",13.3
"CP","Catcher Processor",2017,411.201882,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2020,338.811564,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2019,358.365644,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2014,170,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2015,170,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2012,86.7,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2011,86.7,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2013,170,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2016,170,"Widow Rockfish","CW",13.4
"CP","Catcher Processor",2018,384.810062,"Widow Rockfish","CW",13.4
"MS","Mothership",2011,61.2,"Widow Rockfish","CW",13.5
"MS","Mothership",2012,61.2,"Widow Rockfish","CW",13.5
"MS","Mothership",2014,120,"Widow Rockfish","CW",13.5
"MS","Mothership",2019,252.963984,"Widow Rockfish","CW",13.5
"MS","Mothership",2013,120,"Widow Rockfish","CW",13.5
"MS","Mothership",2018,271.630632,"Widow Rockfish","CW",13.5
"MS","Mothership",2017,290.260152,"Widow Rockfish","CW",13.5
"MS","Mothership",2016,120,"Widow Rockfish","CW",13.5
"MS","Mothership",2020,239.161104,"Widow Rockfish","CW",13.5
"MS","Mothership",2015,120,"Widow Rockfish","CW",13.5
"WSAT","At-sea Whiting Set-asides",2022,476,"Widow Rockfish","CW",14
"WSAT","At-sea Whiting Set-asides",2021,476,"Widow Rockfish","CW",14
"WSAT","At-sea Whiting Set-asides",2023,476,"Widow Rockfish","CW",14
"WSAT","At-sea Whiting Set-asides",2024,476,"Widow Rockfish","CW",14
"WSAT","At-sea Whiting Set-asides",2026,300,"Widow Rockfish","CW",14
"WSAT","At-sea Whiting Set-asides",2025,300,"Widow Rockfish","CW",14
"SBIFQ","SB IFQ Total",2014,993.828,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2025,10418.7,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2026,9573.7,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2016,1420.618,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2015,1420.618,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2018,10661.5,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2013,993.828,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2019,9928.84,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2012,342.681,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2020,9387.07,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2022,12663.68,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2017,11392.71,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2024,10367.68,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2023,11509.68,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2011,342.681,"Widow Rockfish","CW",14.2
"SBIFQ","SB IFQ Total",2021,13600.68,"Widow Rockfish","CW",14.2
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2015,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2011,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2016,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2017,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2018,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2019,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2020,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2014,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2012,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_PCT","Allocation Non Trawl Percent",2013,9,"Widow Rockfish","CW",14.3
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2025,300,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2026,300,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2024,400,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2023,400,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2021,400,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2022,400,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2020,985.554,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2019,1042.434,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2016,169.182,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2015,169.182,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2013,126.972,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2014,126.972,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2011,48.519,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2012,48.519,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2018,1119.357,"Widow Rockfish","CW",14.4
"ALLOC_NTWL_MT","Allocation Non Trawl MT",2017,1196.127,"Widow Rockfish","CW",14.4
"WA21","Whiting A21",2017,10,"Widow Rockfish","CW",16
"WA21","Whiting A21",2018,10,"Widow Rockfish","CW",16
"WA21","Whiting A21",2012,52,"Widow Rockfish","CW",16
"WA21","Whiting A21",2011,52,"Widow Rockfish","CW",16
"WA21","Whiting A21",2014,500,"Widow Rockfish","CW",16
"WA21","Whiting A21",2013,500,"Widow Rockfish","CW",16
"WA21","Whiting A21",2015,500,"Widow Rockfish","CW",16
"WA21","Whiting A21",2016,500,"Widow Rockfish","CW",16
"WA21","Whiting A21",2019,10,"Widow Rockfish","CW",16
"WA21","Whiting A21",2020,10,"Widow Rockfish","CW",16
"SB_NWHIT","Shore-based Non-Whiting MT",2018,10186.1487,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2014,783.828,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2013,783.828,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2019,9486.1494,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2011,235.581,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2016,1210.618,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2012,235.581,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2020,8968.5414,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2015,1210.618,"Widow Rockfish","CW",16.1
"SB_NWHIT","Shore-based Non-Whiting MT",2017,10884.7557,"Widow Rockfish","CW",16.1
"SB_WHIT","Shore-based Whiting MT",2014,210,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2011,107.1,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2012,107.1,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2018,475.353606,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2017,507.955266,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2020,418.531932,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2019,442.686972,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2016,210,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2015,210,"Widow Rockfish","CW",16.2
"SB_WHIT","Shore-based Whiting MT",2013,210,"Widow Rockfish","CW",16.2
"WHIT_TOT","Whiting Total MT",2015,500,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2018,1131.7943,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2019,1054.0166,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2016,500,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2014,500,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2012,255,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2013,500,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2017,1209.4173,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2011,255,"Widow Rockfish","CW",16.3
"WHIT_TOT","Whiting Total MT",2020,996.5046,"Widow Rockfish","CW",16.3
